TAG,event,duration [mins],colony_id
019,sleep,59.330749999999995,"[32.5520750428, 35.45852468563]"
144,sleep,51.329950000000004,"[32.52783113203, 35.40896787929]"
163,sleep,2.79985,"[32.49208750481, 35.41152915349]"
166,sleep,19.33223333333333,"[32.52783113203, 35.40896787929]"
167,sleep,56.796283333333335,"[32.5128347589, 35.4531341842]"
195,sleep,36.79735,"[32.5128347589, 35.4531341842]"
226,sleep,36.797716666666666,"[32.5128347589, 35.4531341842]"
228,sleep,41.73096666666667,"[32.5520750428, 35.45852468563]"
231,sleep,59.19585,"[32.5128347589, 35.4531341842]"
232,sleep,56.52961666666667,"[32.5520750428, 35.45852468563]"
241,sleep,59.32951666666667,"[32.5128347589, 35.4531341842]"
243,visit,0.5333,"[32.5128347589, 35.4531341842]"
310,sleep,59.46256666666667,"[32.52783113203, 35.40896787929]"
323,sleep,57.0627,"[32.52783113203, 35.40896787929]"
325,sleep,54.52993333333333,"[32.52783113203, 35.40896787929]"
424,sleep,42.66413333333333,"[32.5128347589, 35.4531341842]"
425,sleep,17.665533333333332,"[32.52783113203, 35.40896787929]"
426,visit,0.5999666666666666,"[32.56955001832, 35.41751573809]"
491,sleep,6.266266666666667,"[32.56955001832, 35.41751573809]"
492,sleep,34.131283333333336,"[32.56955001832, 35.41751573809]"
493,sleep,28.531266666666667,"[32.56955001832, 35.41751573809]"
495,sleep,33.19781666666667,"[32.56955001832, 35.41751573809]"
