tag #,event,duration [mins],inside colony #
013,no_visit,0.0,
019,sleep,59.330749999999995,"[32.5520750428, 35.45852468563]"
021,no_visit,0.0,
025,no_visit,0.0,
144,sleep,51.329950000000004,"[32.52783113203, 35.40896787929]"
145,no_visit,0.0,
156,no_visit,0.0,
161,no_visit,0.0,
163,sleep,2.79985,"[32.49208750481, 35.41152915349]"
164,no_visit,0.0,
166,sleep,19.33223333333333,"[32.52783113203, 35.40896787929]"
167,sleep,56.796283333333335,"[32.5128347589, 35.4531341842]"
195,sleep,36.79735,"[32.5128347589, 35.4531341842]"
201,no_visit,0.0,
220,no_visit,0.0,
225,no_visit,0.0,
226,sleep,36.797716666666666,"[32.5128347589, 35.4531341842]"
228,sleep,41.73096666666667,"[32.5520750428, 35.45852468563]"
229,no_visit,0.0,
231,sleep,59.19585,"[32.5128347589, 35.4531341842]"
232,sleep,56.52961666666667,"[32.5520750428, 35.45852468563]"
238,no_visit,0.0,
239,no_visit,0.0,
241,sleep,59.32951666666667,"[32.5128347589, 35.4531341842]"
243,visit,0.5333,"[32.5128347589, 35.4531341842]"
310,sleep,59.46256666666667,"[32.52783113203, 35.40896787929]"
323,sleep,57.0627,"[32.52783113203, 35.40896787929]"
325,sleep,54.52993333333333,"[32.52783113203, 35.40896787929]"
329,no_visit,0.0,
363,no_visit,0.0,
365,no_visit,0.0,
376,no_visit,0.0,
378,no_visit,0.0,
380,no_visit,0.0,
401,no_visit,0.0,
403,no_visit,0.0,
405,no_visit,0.0,
406,no_visit,0.0,
407,no_visit,0.0,
408,no_visit,0.0,
409,no_visit,0.0,
410,no_visit,0.0,
411,no_visit,0.0,
423,no_visit,0.0,
424,sleep,42.66413333333333,"[32.5128347589, 35.4531341842]"
425,sleep,17.665533333333332,"[32.52783113203, 35.40896787929]"
426,visit,0.5999666666666666,"[32.56955001832, 35.41751573809]"
428,no_visit,0.0,
429,no_visit,0.0,
430,no_visit,0.0,
491,sleep,6.266266666666667,"[32.56955001832, 35.41751573809]"
492,sleep,34.131283333333336,"[32.56955001832, 35.41751573809]"
493,sleep,28.531266666666667,"[32.56955001832, 35.41751573809]"
494,no_visit,0.0,
495,sleep,33.19781666666667,"[32.56955001832, 35.41751573809]"
